Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 160, loss: 1.390193, train acc: 0.973127, train avg acc: 0.960988
Test 160, loss: 1.471978, test acc: 0.914506, test avg acc: 0.871994
Train 161, loss: 1.391612, train acc: 0.973331, train avg acc: 0.961187
Test 161, loss: 1.472465, test acc: 0.908428, test avg acc: 0.874913
Train 162, loss: 1.387141, train acc: 0.974450, train avg acc: 0.960952
Test 162, loss: 1.447731, test acc: 0.921394, test avg acc: 0.884959
Train 163, loss: 1.386886, train acc: 0.975977, train avg acc: 0.964237
Test 163, loss: 1.449686, test acc: 0.920989, test avg acc: 0.881157
Train 164, loss: 1.384713, train acc: 0.976486, train avg acc: 0.965833
Test 164, loss: 1.467646, test acc: 0.910859, test avg acc: 0.879785
Train 165, loss: 1.387696, train acc: 0.974959, train avg acc: 0.962006
Test 165, loss: 1.457668, test acc: 0.920178, test avg acc: 0.887994
Train 166, loss: 1.382426, train acc: 0.977606, train avg acc: 0.964904
Test 166, loss: 1.459654, test acc: 0.916937, test avg acc: 0.889616
Train 167, loss: 1.383738, train acc: 0.976588, train avg acc: 0.964362
Test 167, loss: 1.452225, test acc: 0.915316, test avg acc: 0.879372
Train 168, loss: 1.383888, train acc: 0.977199, train avg acc: 0.965126
Test 168, loss: 1.461459, test acc: 0.914506, test avg acc: 0.893831
Train 169, loss: 1.379186, train acc: 0.978115, train avg acc: 0.966328
Test 169, loss: 1.453248, test acc: 0.917342, test avg acc: 0.889081
Train 170, loss: 1.375342, train acc: 0.979642, train avg acc: 0.969212
Test 170, loss: 1.460030, test acc: 0.917747, test avg acc: 0.888959
Train 171, loss: 1.377837, train acc: 0.978929, train avg acc: 0.969430
Test 171, loss: 1.465301, test acc: 0.910859, test avg acc: 0.879843
Train 172, loss: 1.376939, train acc: 0.978929, train avg acc: 0.967888
Test 172, loss: 1.461229, test acc: 0.914911, test avg acc: 0.891250
Train 173, loss: 1.373508, train acc: 0.978522, train avg acc: 0.965555
Test 173, loss: 1.457996, test acc: 0.915721, test avg acc: 0.884994
Train 174, loss: 1.370058, train acc: 0.981169, train avg acc: 0.972403
Test 174, loss: 1.451211, test acc: 0.916937, test avg acc: 0.888372
Train 175, loss: 1.368292, train acc: 0.982492, train avg acc: 0.972948
Test 175, loss: 1.458052, test acc: 0.919368, test avg acc: 0.886552
Train 176, loss: 1.364090, train acc: 0.982594, train avg acc: 0.972566
Test 176, loss: 1.442372, test acc: 0.923420, test avg acc: 0.893500
Train 177, loss: 1.364334, train acc: 0.982797, train avg acc: 0.973325
Test 177, loss: 1.468120, test acc: 0.911264, test avg acc: 0.885331
Train 178, loss: 1.365480, train acc: 0.984935, train avg acc: 0.977961
Test 178, loss: 1.456512, test acc: 0.917747, test avg acc: 0.887122
Train 179, loss: 1.363751, train acc: 0.984731, train avg acc: 0.976719
Test 179, loss: 1.457038, test acc: 0.918152, test avg acc: 0.882326
Train 180, loss: 1.362280, train acc: 0.983103, train avg acc: 0.975362
Test 180, loss: 1.458926, test acc: 0.915316, test avg acc: 0.887669
Train 181, loss: 1.362760, train acc: 0.984222, train avg acc: 0.975836
Test 181, loss: 1.449040, test acc: 0.918963, test avg acc: 0.884791
Train 182, loss: 1.361455, train acc: 0.984731, train avg acc: 0.976596
Test 182, loss: 1.448556, test acc: 0.918558, test avg acc: 0.886000
Train 183, loss: 1.359488, train acc: 0.986462, train avg acc: 0.979032
